seqnames1	start1	end1	seqnames2	start2	end2	name	selected_anch1	selected_anch2	loop_class	celltype
chr6	31494500	31495500	chr6	32128500	32129500	chr6_31495000_32129000	promoter	promoter	P-P	GM12878
chr6	31494500	31495500	chr6	31971500	31972500	chr6_31495000_31972000	promoter	promoter	P-P	GM12878
chr6	31496500	31497500	chr6	31908500	31909500	chr6_31497000_31909000	enhancer	NA	E/P-other	GM12878
chr6	31541500	31542500	chr6	31664500	31665500	chr6_31542000_31665000	promoter	promoter	P-P	GM12878
chr6	31541500	31542500	chr6	32190500	32191500	chr6_31542000_32191000	promoter	enhancer	E-P	GM12878
chr6	31541500	31542500	chr6	31896500	31897500	chr6_31542000_31897000	promoter	promoter	P-P	GM12878
chr6	31541500	31542500	chr6	31794500	31795500	chr6_31542000_31795000	promoter	enhancer	E-P	GM12878
chr6	31541500	31542500	chr6	31833500	31834500	chr6_31542000_31834000	promoter	enhancer	E-P	GM12878
chr6	31541500	31542500	chr6	31737500	31738500	chr6_31542000_31738000	promoter	enhancer	E-P	GM12878
chr6	31541500	31542500	chr6	31651500	31652500	chr6_31542000_31652000	promoter	promoter	P-P	GM12878
chr6	31541500	31542500	chr6	32176500	32177500	chr6_31542000_32177000	promoter	promoter	P-P	GM12878
chr6	31541500	31542500	chr6	32128500	32129500	chr6_31542000_32129000	promoter	promoter	P-P	GM12878
chr6	31550500	31551500	chr6	31597500	31598500	chr6_31551000_31598000	enhancer	NA	E/P-other	GM12878
chr6	31558500	31559500	chr6	31832500	31833500	chr6_31559000_31833000	enhancer	NA	E/P-other	GM12878
chr6	31558500	31559500	chr6	32176500	32177500	chr6_31559000_32177000	enhancer	promoter	E-P	GM12878
chr6	31558500	31559500	chr6	31702500	31703500	chr6_31559000_31703000	enhancer	promoter	E-P	GM12878
chr6	31558500	31559500	chr6	31651500	31652500	chr6_31559000_31652000	enhancer	promoter	E-P	GM12878
chr6	31559500	31560500	chr6	31567500	31568500	chr6_31560000_31568000	enhancer	enhancer	E-E	GM12878
chr6	31559500	31560500	chr6	31736500	31737500	chr6_31560000_31737000	enhancer	promoter	E-P	GM12878
chr6	31559500	31560500	chr6	32190500	32191500	chr6_31560000_32191000	enhancer	enhancer	E-E	GM12878
chr6	31559500	31560500	chr6	31971500	31972500	chr6_31560000_31972000	enhancer	promoter	E-P	GM12878
chr6	31567500	31568500	chr6	31651500	31652500	chr6_31568000_31652000	enhancer	promoter	E-P	GM12878
chr6	31568500	31569500	chr6	31832500	31833500	chr6_31569000_31833000	enhancer	NA	E/P-other	GM12878
chr6	31568500	31569500	chr6	32176500	32177500	chr6_31569000_32177000	enhancer	promoter	E-P	GM12878
chr6	31568500	31569500	chr6	31736500	31737500	chr6_31569000_31737000	enhancer	promoter	E-P	GM12878
chr6	31568500	31569500	chr6	32190500	32191500	chr6_31569000_32191000	enhancer	enhancer	E-E	GM12878
chr6	31572500	31573500	chr6	31897500	31898500	chr6_31573000_31898000	promoter	promoter	P-P	GM12878
chr6	31574500	31575500	chr6	31832500	31833500	chr6_31575000_31833000	promoter	NA	E/P-other	GM12878
chr6	31574500	31575500	chr6	32176500	32177500	chr6_31575000_32177000	promoter	promoter	P-P	GM12878
chr6	31574500	31575500	chr6	31651500	31652500	chr6_31575000_31652000	promoter	promoter	P-P	GM12878
chr6	31574500	31575500	chr6	31702500	31703500	chr6_31575000_31703000	promoter	promoter	P-P	GM12878
chr6	31575500	31576500	chr6	31909500	31910500	chr6_31576000_31910000	promoter	NA	E/P-other	GM12878
chr6	31578500	31579500	chr6	31662500	31663500	chr6_31579000_31663000	enhancer	enhancer	E-E	GM12878
chr6	31580500	31581500	chr6	31595500	31596500	chr6_31581000_31596000	enhancer	NA	E/P-other	GM12878
chr6	31585500	31586500	chr6	31617500	31618500	chr6_31586000_31618000	enhancer	NA	E/P-other	GM12878
chr6	31585500	31586500	chr6	31651500	31652500	chr6_31586000_31652000	enhancer	promoter	E-P	GM12878
chr6	31619500	31620500	chr6	31737500	31738500	chr6_31620000_31738000	enhancer	enhancer	E-E	GM12878
chr6	31619500	31620500	chr6	32153500	32154500	chr6_31620000_32154000	enhancer	promoter	E-P	GM12878
chr6	31619500	31620500	chr6	31794500	31795500	chr6_31620000_31795000	enhancer	enhancer	E-E	GM12878
chr6	31619500	31620500	chr6	31702500	31703500	chr6_31620000_31703000	enhancer	promoter	E-P	GM12878
chr6	31619500	31620500	chr6	31862500	31863500	chr6_31620000_31863000	enhancer	promoter	E-P	GM12878
chr6	31619500	31620500	chr6	31806500	31807500	chr6_31620000_31807000	enhancer	promoter	E-P	GM12878
chr6	31619500	31620500	chr6	31958500	31959500	chr6_31620000_31959000	enhancer	promoter	E-P	GM12878
chr6	31619500	31620500	chr6	31908500	31909500	chr6_31620000_31909000	enhancer	NA	E/P-other	GM12878
chr6	31619500	31620500	chr6	31971500	31972500	chr6_31620000_31972000	enhancer	promoter	E-P	GM12878
chr6	31619500	31620500	chr6	31651500	31652500	chr6_31620000_31652000	enhancer	promoter	E-P	GM12878
chr6	31619500	31620500	chr6	32128500	32129500	chr6_31620000_32129000	enhancer	promoter	E-P	GM12878
chr6	31619500	31620500	chr6	31833500	31834500	chr6_31620000_31834000	enhancer	enhancer	E-E	GM12878
chr6	31619500	31620500	chr6	32176500	32177500	chr6_31620000_32177000	enhancer	promoter	E-P	GM12878
chr6	31619500	31620500	chr6	31897500	31898500	chr6_31620000_31898000	enhancer	promoter	E-P	GM12878
chr6	31619500	31620500	chr6	32190500	32191500	chr6_31620000_32191000	enhancer	enhancer	E-E	GM12878
chr6	31619500	31620500	chr6	31813500	31814500	chr6_31620000_31814000	enhancer	enhancer	E-E	GM12878
chr6	31620500	31621500	chr6	31787500	31788500	chr6_31621000_31788000	enhancer	NA	E/P-other	GM12878
chr6	31651500	31652500	chr6	31908500	31909500	chr6_31652000_31909000	promoter	NA	E/P-other	GM12878
chr6	31651500	31652500	chr6	31794500	31795500	chr6_31652000_31795000	promoter	enhancer	E-P	GM12878
chr6	31651500	31652500	chr6	31728500	31729500	chr6_31652000_31729000	promoter	promoter	P-P	GM12878
chr6	31651500	31652500	chr6	32194500	32195500	chr6_31652000_32195000	promoter	enhancer	E-P	GM12878
chr6	31651500	31652500	chr6	31833500	31834500	chr6_31652000_31834000	promoter	enhancer	E-P	GM12878
chr6	31651500	31652500	chr6	31897500	31898500	chr6_31652000_31898000	promoter	promoter	P-P	GM12878
chr6	31651500	31652500	chr6	31702500	31703500	chr6_31652000_31703000	promoter	promoter	P-P	GM12878
chr6	31651500	31652500	chr6	31664500	31665500	chr6_31652000_31665000	promoter	promoter	P-P	GM12878
chr6	31651500	31652500	chr6	31971500	31972500	chr6_31652000_31972000	promoter	promoter	P-P	GM12878
chr6	31651500	31652500	chr6	31958500	31959500	chr6_31652000_31959000	promoter	promoter	P-P	GM12878
chr6	31651500	31652500	chr6	31862500	31863500	chr6_31652000_31863000	promoter	promoter	P-P	GM12878
chr6	31651500	31652500	chr6	31737500	31738500	chr6_31652000_31738000	promoter	enhancer	E-P	GM12878
chr6	31651500	31652500	chr6	32128500	32129500	chr6_31652000_32129000	promoter	promoter	P-P	GM12878
chr6	31664500	31665500	chr6	31794500	31795500	chr6_31665000_31795000	promoter	enhancer	E-P	GM12878
chr6	31664500	31665500	chr6	32153500	32154500	chr6_31665000_32154000	promoter	promoter	P-P	GM12878
chr6	31664500	31665500	chr6	31908500	31909500	chr6_31665000_31909000	promoter	NA	E/P-other	GM12878
chr6	31664500	31665500	chr6	31896500	31897500	chr6_31665000_31897000	promoter	promoter	P-P	GM12878
chr6	31664500	31665500	chr6	31702500	31703500	chr6_31665000_31703000	promoter	promoter	P-P	GM12878
chr6	31664500	31665500	chr6	31862500	31863500	chr6_31665000_31863000	promoter	promoter	P-P	GM12878
chr6	31664500	31665500	chr6	31971500	31972500	chr6_31665000_31972000	promoter	promoter	P-P	GM12878
chr6	31664500	31665500	chr6	32190500	32191500	chr6_31665000_32191000	promoter	enhancer	E-P	GM12878
chr6	31664500	31665500	chr6	31737500	31738500	chr6_31665000_31738000	promoter	enhancer	E-P	GM12878
chr6	31664500	31665500	chr6	31832500	31833500	chr6_31665000_31833000	promoter	NA	E/P-other	GM12878
chr6	31664500	31665500	chr6	32176500	32177500	chr6_31665000_32177000	promoter	promoter	P-P	GM12878
chr6	31664500	31665500	chr6	32128500	32129500	chr6_31665000_32129000	promoter	promoter	P-P	GM12878
chr6	31664500	31665500	chr6	31958500	31959500	chr6_31665000_31959000	promoter	promoter	P-P	GM12878
chr6	31701500	31702500	chr6	31909500	31910500	chr6_31702000_31910000	enhancer	NA	E/P-other	GM12878
chr6	31702500	31703500	chr6	32128500	32129500	chr6_31703000_32129000	promoter	promoter	P-P	GM12878
chr6	31702500	31703500	chr6	31957500	31958500	chr6_31703000_31958000	promoter	promoter	P-P	GM12878
chr6	31702500	31703500	chr6	31896500	31897500	chr6_31703000_31897000	promoter	promoter	P-P	GM12878
chr6	31702500	31703500	chr6	31736500	31737500	chr6_31703000_31737000	promoter	promoter	P-P	GM12878
chr6	31702500	31703500	chr6	32194500	32195500	chr6_31703000_32195000	promoter	enhancer	E-P	GM12878
chr6	31702500	31703500	chr6	32190500	32191500	chr6_31703000_32191000	promoter	enhancer	E-P	GM12878
chr6	31702500	31703500	chr6	31971500	31972500	chr6_31703000_31972000	promoter	promoter	P-P	GM12878
chr6	31702500	31703500	chr6	32176500	32177500	chr6_31703000_32177000	promoter	promoter	P-P	GM12878
chr6	31702500	31703500	chr6	31829500	31830500	chr6_31703000_31830000	promoter	enhancer	E-P	GM12878
chr6	31702500	31703500	chr6	31825500	31826500	chr6_31703000_31826000	promoter	NA	E/P-other	GM12878
chr6	31727500	31728500	chr6	31788500	31789500	chr6_31728000_31789000	enhancer	enhancer	E-E	GM12878
chr6	31727500	31728500	chr6	32193500	32194500	chr6_31728000_32194000	enhancer	NA	E/P-other	GM12878
chr6	31728500	31729500	chr6	31862500	31863500	chr6_31729000_31863000	promoter	promoter	P-P	GM12878
chr6	31728500	31729500	chr6	31971500	31972500	chr6_31729000_31972000	promoter	promoter	P-P	GM12878
chr6	31728500	31729500	chr6	31769500	31770500	chr6_31729000_31770000	promoter	CTCF	E/P-other	GM12878
chr6	31728500	31729500	chr6	31829500	31830500	chr6_31729000_31830000	promoter	enhancer	E-P	GM12878
chr6	31728500	31729500	chr6	31794500	31795500	chr6_31729000_31795000	promoter	enhancer	E-P	GM12878
chr6	31728500	31729500	chr6	31896500	31897500	chr6_31729000_31897000	promoter	promoter	P-P	GM12878
chr6	31728500	31729500	chr6	31737500	31738500	chr6_31729000_31738000	promoter	enhancer	E-P	GM12878
chr6	31735500	31736500	chr6	31862500	31863500	chr6_31736000_31863000	promoter	promoter	P-P	GM12878
chr6	31735500	31736500	chr6	31958500	31959500	chr6_31736000_31959000	promoter	promoter	P-P	GM12878
chr6	31737500	31738500	chr6	31896500	31897500	chr6_31738000_31897000	enhancer	promoter	E-P	GM12878
chr6	31737500	31738500	chr6	32176500	32177500	chr6_31738000_32177000	enhancer	promoter	E-P	GM12878
chr6	31737500	31738500	chr6	31971500	31972500	chr6_31738000_31972000	enhancer	promoter	E-P	GM12878
chr6	31740500	31741500	chr6	31767500	31768500	chr6_31741000_31768000	enhancer	NA	E/P-other	GM12878
chr6	31776500	31777500	chr6	31804500	31805500	chr6_31777000_31805000	promoter	NA	E/P-other	GM12878
chr6	31776500	31777500	chr6	32207500	32208500	chr6_31777000_32208000	promoter	NA	E/P-other	GM12878
chr6	31776500	31777500	chr6	32128500	32129500	chr6_31777000_32129000	promoter	promoter	P-P	GM12878
chr6	31776500	31777500	chr6	31793500	31794500	chr6_31777000_31794000	promoter	NA	E/P-other	GM12878
chr6	31788500	31789500	chr6	31862500	31863500	chr6_31789000_31863000	enhancer	promoter	E-P	GM12878
chr6	31794500	31795500	chr6	32190500	32191500	chr6_31795000_32191000	enhancer	enhancer	E-E	GM12878
chr6	31794500	31795500	chr6	32176500	32177500	chr6_31795000_32177000	enhancer	promoter	E-P	GM12878
chr6	31794500	31795500	chr6	31971500	31972500	chr6_31795000_31972000	enhancer	promoter	E-P	GM12878
chr6	31794500	31795500	chr6	31897500	31898500	chr6_31795000_31898000	enhancer	promoter	E-P	GM12878
chr6	31794500	31795500	chr6	31829500	31830500	chr6_31795000_31830000	enhancer	enhancer	E-E	GM12878
chr6	31795500	31796500	chr6	31825500	31826500	chr6_31796000_31826000	promoter	NA	E/P-other	GM12878
chr6	31795500	31796500	chr6	31813500	31814500	chr6_31796000_31814000	promoter	enhancer	E-P	GM12878
chr6	31805500	31806500	chr6	31862500	31863500	chr6_31806000_31863000	enhancer	promoter	E-P	GM12878
chr6	31805500	31806500	chr6	31957500	31958500	chr6_31806000_31958000	enhancer	promoter	E-P	GM12878
chr6	31805500	31806500	chr6	32176500	32177500	chr6_31806000_32177000	enhancer	promoter	E-P	GM12878
chr6	31813500	31814500	chr6	31832500	31833500	chr6_31814000_31833000	enhancer	NA	E/P-other	GM12878
chr6	31813500	31814500	chr6	32176500	32177500	chr6_31814000_32177000	enhancer	promoter	E-P	GM12878
chr6	31813500	31814500	chr6	31897500	31898500	chr6_31814000_31898000	enhancer	promoter	E-P	GM12878
chr6	31821500	31822500	chr6	32190500	32191500	chr6_31822000_32191000	enhancer	enhancer	E-E	GM12878
chr6	31833500	31834500	chr6	32128500	32129500	chr6_31834000_32129000	enhancer	promoter	E-P	GM12878
chr6	31833500	31834500	chr6	32176500	32177500	chr6_31834000_32177000	enhancer	promoter	E-P	GM12878
chr6	31833500	31834500	chr6	31897500	31898500	chr6_31834000_31898000	enhancer	promoter	E-P	GM12878
chr6	31833500	31834500	chr6	31971500	31972500	chr6_31834000_31972000	enhancer	promoter	E-P	GM12878
chr6	31833500	31834500	chr6	32194500	32195500	chr6_31834000_32195000	enhancer	enhancer	E-E	GM12878
chr6	31834500	31835500	chr6	31862500	31863500	chr6_31835000_31863000	promoter	promoter	P-P	GM12878
chr6	31834500	31835500	chr6	31957500	31958500	chr6_31835000_31958000	promoter	promoter	P-P	GM12878
chr6	31834500	31835500	chr6	31908500	31909500	chr6_31835000_31909000	promoter	NA	E/P-other	GM12878
chr6	31835500	31836500	chr6	31922500	31923500	chr6_31836000_31923000	enhancer	NA	E/P-other	GM12878
chr6	31837500	31838500	chr6	32153500	32154500	chr6_31838000_32154000	enhancer	promoter	E-P	GM12878
chr6	31862500	31863500	chr6	31896500	31897500	chr6_31863000_31897000	promoter	promoter	P-P	GM12878
chr6	31862500	31863500	chr6	32128500	32129500	chr6_31863000_32129000	promoter	promoter	P-P	GM12878
chr6	31862500	31863500	chr6	32176500	32177500	chr6_31863000_32177000	promoter	promoter	P-P	GM12878
chr6	31862500	31863500	chr6	32190500	32191500	chr6_31863000_32191000	promoter	enhancer	E-P	GM12878
chr6	31862500	31863500	chr6	32194500	32195500	chr6_31863000_32195000	promoter	enhancer	E-P	GM12878
chr6	31897500	31898500	chr6	31971500	31972500	chr6_31898000_31972000	promoter	promoter	P-P	GM12878
chr6	31897500	31898500	chr6	31908500	31909500	chr6_31898000_31909000	promoter	NA	E/P-other	GM12878
chr6	31897500	31898500	chr6	32194500	32195500	chr6_31898000_32195000	promoter	enhancer	E-P	GM12878
chr6	31897500	31898500	chr6	31958500	31959500	chr6_31898000_31959000	promoter	promoter	P-P	GM12878
chr6	31897500	31898500	chr6	32176500	32177500	chr6_31898000_32177000	promoter	promoter	P-P	GM12878
chr6	31897500	31898500	chr6	32128500	32129500	chr6_31898000_32129000	promoter	promoter	P-P	GM12878
chr6	31958500	31959500	chr6	32153500	32154500	chr6_31959000_32154000	promoter	promoter	P-P	GM12878
chr6	31958500	31959500	chr6	32195500	32196500	chr6_31959000_32196000	promoter	enhancer	E-P	GM12878
chr6	31958500	31959500	chr6	32176500	32177500	chr6_31959000_32177000	promoter	promoter	P-P	GM12878
chr6	31958500	31959500	chr6	31970500	31971500	chr6_31959000_31971000	promoter	NA	E/P-other	GM12878
chr6	31958500	31959500	chr6	32128500	32129500	chr6_31959000_32129000	promoter	promoter	P-P	GM12878
chr6	31971500	31972500	chr6	32176500	32177500	chr6_31972000_32177000	promoter	promoter	P-P	GM12878
chr6	31971500	31972500	chr6	32128500	32129500	chr6_31972000_32129000	promoter	promoter	P-P	GM12878
chr6	31971500	31972500	chr6	32195500	32196500	chr6_31972000_32196000	promoter	enhancer	E-P	GM12878
chr6	32128500	32129500	chr6	32194500	32195500	chr6_32129000_32195000	promoter	enhancer	E-P	GM12878
chr6	32128500	32129500	chr6	32153500	32154500	chr6_32129000_32154000	promoter	promoter	P-P	GM12878
chr6	32128500	32129500	chr6	32176500	32177500	chr6_32129000_32177000	promoter	promoter	P-P	GM12878
chr6	32196500	32197500	chr6	32224500	32225500	chr6_32197000_32225000	enhancer	NA	E/P-other	GM12878
chr6	32196500	32197500	chr6	32240500	32241500	chr6_32197000_32241000	enhancer	NA	E/P-other	GM12878
chr7	10939500	10940500	chr7	11612500	11613500	chr7_10940000_11613000	promoter	enhancer	E-P	GM12878
chr7	10939500	10940500	chr7	11018500	11019500	chr7_10940000_11019000	promoter	NA	E/P-other	GM12878
chr7	10939500	10940500	chr7	12209500	12210500	chr7_10940000_12210000	promoter	NA	E/P-other	GM12878
chr7	10939500	10940500	chr7	11119500	11120500	chr7_10940000_11120000	promoter	NA	E/P-other	GM12878
chr7	10939500	10940500	chr7	11331500	11332500	chr7_10940000_11332000	promoter	NA	E/P-other	GM12878
chr7	10939500	10940500	chr7	11210500	11211500	chr7_10940000_11211000	promoter	NA	E/P-other	GM12878
chr7	10939500	10940500	chr7	10972500	10973500	chr7_10940000_10973000	promoter	enhancer	E-P	GM12878
chr7	10939500	10940500	chr7	11076500	11077500	chr7_10940000_11077000	promoter	NA	E/P-other	GM12878
chr7	10940500	10941500	chr7	10963500	10964500	chr7_10941000_10964000	promoter	NA	E/P-other	GM12878
chr7	10940500	10941500	chr7	10952500	10953500	chr7_10941000_10953000	promoter	NA	E/P-other	GM12878
chr7	10972500	10973500	chr7	12210500	12211500	chr7_10973000_12211000	enhancer	promoter	E-P	GM12878
chr7	11612500	11613500	chr7	11753500	11754500	chr7_11613000_11754000	enhancer	NA	E/P-other	GM12878
chr7	11612500	11613500	chr7	12255500	12256500	chr7_11613000_12256000	enhancer	NA	E/P-other	GM12878
chr7	11612500	11613500	chr7	12578500	12579500	chr7_11613000_12579000	enhancer	NA	E/P-other	GM12878
chr7	11612500	11613500	chr7	12210500	12211500	chr7_11613000_12211000	enhancer	promoter	E-P	GM12878
chr7	12210500	12211500	chr7	12256500	12257500	chr7_12211000_12257000	promoter	NA	E/P-other	GM12878
chr7	12210500	12211500	chr7	12321500	12322500	chr7_12211000_12322000	promoter	NA	E/P-other	GM12878
chr7	12211500	12212500	chr7	12224500	12225500	chr7_12212000_12225000	enhancer	NA	E/P-other	GM12878
chr7	12211500	12212500	chr7	12232500	12233500	chr7_12212000_12233000	enhancer	NA	E/P-other	GM12878
chr8	63009500	63010500	chr8	63037500	63038500	chr8_63010000_63038000	enhancer	enhancer	E-E	GM12878
chr8	63009500	63010500	chr8	63167500	63168500	chr8_63010000_63168000	enhancer	promoter	E-P	GM12878
chr8	63009500	63010500	chr8	63199500	63200500	chr8_63010000_63200000	enhancer	enhancer	E-E	GM12878
chr8	63009500	63010500	chr8	63221500	63222500	chr8_63010000_63222000	enhancer	NA	E/P-other	GM12878
chr8	63037500	63038500	chr8	63394500	63395500	chr8_63038000_63395000	enhancer	NA	E/P-other	GM12878
chr8	63037500	63038500	chr8	63199500	63200500	chr8_63038000_63200000	enhancer	enhancer	E-E	GM12878
chr8	63038500	63039500	chr8	63166500	63167500	chr8_63039000_63167000	promoter	NA	E/P-other	GM12878
chr8	63038500	63039500	chr8	63109500	63110500	chr8_63039000_63110000	promoter	NA	E/P-other	GM12878
chr8	64575500	64576500	chr8	64694500	64695500	chr8_64576000_64695000	enhancer	enhancer	E-E	GM12878
chr8	64575500	64576500	chr8	64917500	64918500	chr8_64576000_64918000	enhancer	NA	E/P-other	GM12878
chr8	64577500	64578500	chr8	64877500	64878500	chr8_64578000_64878000	enhancer	NA	E/P-other	GM12878
chr8	64577500	64578500	chr8	64841500	64842500	chr8_64578000_64842000	enhancer	NA	E/P-other	GM12878
chr8	64578500	64579500	chr8	64755500	64756500	chr8_64579000_64756000	enhancer	NA	E/P-other	GM12878
chr8	64578500	64579500	chr8	64816500	64817500	chr8_64579000_64817000	enhancer	promoter	E-P	GM12878
chr8	64578500	64579500	chr8	64795500	64796500	chr8_64579000_64796000	enhancer	NA	E/P-other	GM12878
chr8	64578500	64579500	chr8	64862500	64863500	chr8_64579000_64863000	enhancer	enhancer	E-E	GM12878
chr8	64579500	64580500	chr8	64630500	64631500	chr8_64580000_64631000	promoter	enhancer	E-P	GM12878
chr8	64580500	64581500	chr8	64652500	64653500	chr8_64581000_64653000	promoter	NA	E/P-other	GM12878
chr8	64630500	64631500	chr8	64844500	64845500	chr8_64631000_64845000	enhancer	NA	E/P-other	GM12878
chr8	64630500	64631500	chr8	65946500	65947500	chr8_64631000_65947000	enhancer	NA	E/P-other	GM12878
chr8	64630500	64631500	chr8	64880500	64881500	chr8_64631000_64881000	enhancer	NA	E/P-other	GM12878
chr8	64630500	64631500	chr8	64744500	64745500	chr8_64631000_64745000	enhancer	NA	E/P-other	GM12878
chr8	64630500	64631500	chr8	64796500	64797500	chr8_64631000_64797000	enhancer	NA	E/P-other	GM12878
chr8	64694500	64695500	chr8	65643500	65644500	chr8_64695000_65644000	enhancer	promoter	E-P	GM12878
chr8	64694500	64695500	chr8	65632500	65633500	chr8_64695000_65633000	enhancer	NA	E/P-other	GM12878
chr8	64694500	64695500	chr8	66430500	66431500	chr8_64695000_66431000	enhancer	enhancer	E-E	GM12878
chr8	64694500	64695500	chr8	66486500	66487500	chr8_64695000_66487000	enhancer	NA	E/P-other	GM12878
chr8	64694500	64695500	chr8	64916500	64917500	chr8_64695000_64917000	enhancer	NA	E/P-other	GM12878
chr8	64694500	64695500	chr8	64862500	64863500	chr8_64695000_64863000	enhancer	enhancer	E-E	GM12878
chr8	64695500	64696500	chr8	64755500	64756500	chr8_64696000_64756000	enhancer	NA	E/P-other	GM12878
chr8	64695500	64696500	chr8	66112500	66113500	chr8_64696000_66113000	enhancer	promoter	E-P	GM12878
chr8	64695500	64696500	chr8	64797500	64798500	chr8_64696000_64798000	enhancer	enhancer	E-E	GM12878
chr8	64695500	64696500	chr8	64816500	64817500	chr8_64696000_64817000	enhancer	promoter	E-P	GM12878
chr8	64695500	64696500	chr8	64846500	64847500	chr8_64696000_64847000	enhancer	NA	E/P-other	GM12878
chr8	64756500	64757500	chr8	64843500	64844500	chr8_64757000_64844000	enhancer	NA	E/P-other	GM12878
chr8	64756500	64757500	chr8	64797500	64798500	chr8_64757000_64798000	enhancer	enhancer	E-E	GM12878
chr8	64757500	64758500	chr8	64815500	64816500	chr8_64758000_64816000	enhancer	NA	E/P-other	GM12878
chr8	64757500	64758500	chr8	64786500	64787500	chr8_64758000_64787000	enhancer	NA	E/P-other	GM12878
chr8	64797500	64798500	chr8	64862500	64863500	chr8_64798000_64863000	enhancer	enhancer	E-E	GM12878
chr8	64797500	64798500	chr8	64915500	64916500	chr8_64798000_64916000	enhancer	enhancer	E-E	GM12878
chr8	64845500	64846500	chr8	64861500	64862500	chr8_64846000_64862000	enhancer	NA	E/P-other	GM12878
chr8	64862500	64863500	chr8	65829500	65830500	chr8_64863000_65830000	enhancer	enhancer	E-E	GM12878
chr8	64862500	64863500	chr8	65791500	65792500	chr8_64863000_65792000	enhancer	NA	E/P-other	GM12878
chr8	64862500	64863500	chr8	65743500	65744500	chr8_64863000_65744000	enhancer	NA	E/P-other	GM12878
chr8	64862500	64863500	chr8	65946500	65947500	chr8_64863000_65947000	enhancer	NA	E/P-other	GM12878
chr8	64862500	64863500	chr8	65642500	65643500	chr8_64863000_65643000	enhancer	NA	E/P-other	GM12878
chr8	64863500	64864500	chr8	65632500	65633500	chr8_64864000_65633000	enhancer	NA	E/P-other	GM12878
chr8	64863500	64864500	chr8	64915500	64916500	chr8_64864000_64916000	enhancer	enhancer	E-E	GM12878
chr8	64863500	64864500	chr8	65878500	65879500	chr8_64864000_65879000	enhancer	enhancer	E-E	GM12878
chr8	64863500	64864500	chr8	65980500	65981500	chr8_64864000_65981000	enhancer	NA	E/P-other	GM12878
chr8	64864500	64865500	chr8	64879500	64880500	chr8_64865000_64880000	enhancer	NA	E/P-other	GM12878
chr8	65633500	65634500	chr8	66428500	66429500	chr8_65634000_66429000	promoter	promoter	P-P	GM12878
chr8	65633500	65634500	chr8	66486500	66487500	chr8_65634000_66487000	promoter	NA	E/P-other	GM12878
chr8	65633500	65634500	chr8	65981500	65982500	chr8_65634000_65982000	promoter	enhancer	E-P	GM12878
chr8	65633500	65634500	chr8	65949500	65950500	chr8_65634000_65950000	promoter	NA	E/P-other	GM12878
chr8	65633500	65634500	chr8	65840500	65841500	chr8_65634000_65841000	promoter	promoter	P-P	GM12878
chr8	65633500	65634500	chr8	65791500	65792500	chr8_65634000_65792000	promoter	NA	E/P-other	GM12878
chr8	65633500	65634500	chr8	65704500	65705500	chr8_65634000_65705000	promoter	NA	E/P-other	GM12878
chr8	65633500	65634500	chr8	65878500	65879500	chr8_65634000_65879000	promoter	enhancer	E-P	GM12878
chr8	65633500	65634500	chr8	66112500	66113500	chr8_65634000_66113000	promoter	promoter	P-P	GM12878
chr8	65644500	65645500	chr8	65743500	65744500	chr8_65645000_65744000	promoter	NA	E/P-other	GM12878
chr8	65644500	65645500	chr8	65704500	65705500	chr8_65645000_65705000	promoter	NA	E/P-other	GM12878
chr8	65644500	65645500	chr8	66032500	66033500	chr8_65645000_66033000	promoter	NA	E/P-other	GM12878
chr8	65644500	65645500	chr8	65878500	65879500	chr8_65645000_65879000	promoter	enhancer	E-P	GM12878
chr8	65644500	65645500	chr8	65981500	65982500	chr8_65645000_65982000	promoter	enhancer	E-P	GM12878
chr8	65644500	65645500	chr8	65751500	65752500	chr8_65645000_65752000	promoter	NA	E/P-other	GM12878
chr8	65644500	65645500	chr8	65760500	65761500	chr8_65645000_65761000	promoter	NA	E/P-other	GM12878
chr8	65744500	65745500	chr8	66429500	66430500	chr8_65745000_66430000	enhancer	promoter	E-P	GM12878
chr8	65761500	65762500	chr8	65949500	65950500	chr8_65762000_65950000	enhancer	NA	E/P-other	GM12878
chr8	65761500	65762500	chr8	65981500	65982500	chr8_65762000_65982000	enhancer	enhancer	E-E	GM12878
chr8	65761500	65762500	chr8	65878500	65879500	chr8_65762000_65879000	enhancer	enhancer	E-E	GM12878
chr8	65761500	65762500	chr8	66063500	66064500	chr8_65762000_66064000	enhancer	NA	E/P-other	GM12878
chr8	65761500	65762500	chr8	66112500	66113500	chr8_65762000_66113000	enhancer	promoter	E-P	GM12878
chr8	65761500	65762500	chr8	65833500	65834500	chr8_65762000_65834000	enhancer	NA	E/P-other	GM12878
chr8	65761500	65762500	chr8	66032500	66033500	chr8_65762000_66033000	enhancer	NA	E/P-other	GM12878
chr8	65761500	65762500	chr8	66428500	66429500	chr8_65762000_66429000	enhancer	promoter	E-P	GM12878
chr8	65829500	65830500	chr8	66009500	66010500	chr8_65830000_66010000	enhancer	enhancer	E-E	GM12878
chr8	65829500	65830500	chr8	66177500	66178500	chr8_65830000_66178000	enhancer	NA	E/P-other	GM12878
chr8	65829500	65830500	chr8	65981500	65982500	chr8_65830000_65982000	enhancer	enhancer	E-E	GM12878
chr8	65834500	65835500	chr8	66176500	66177500	chr8_65835000_66177000	enhancer	NA	E/P-other	GM12878
